Date,Close,3EMA_Close,6EMA_Close,9EMA_Close,EMA_Actual Momentum
2004-01-01,1912.25,1912.25,1912.25,1912.25,0.0
2004-01-02,1946.05,1913.26,1912.76,1912.59,1.0
2004-01-05,1955.0,1914.5,1913.39,1913.02,1.0
2004-01-06,1926.7,1914.87,1913.59,1913.15,1.0
2004-01-07,1916.75,1914.93,1913.64,1913.19,1.0
2004-01-08,1968.55,1916.53,1914.47,1913.75,1.0
2004-01-09,1971.9,1918.18,1915.33,1914.33,1.0
2004-01-12,1945.6,1919.0,1915.79,1914.64,1.0
2004-01-13,1963.6,1920.33,1916.5,1915.14,1.0
2004-01-14,1982.15,1922.17,1917.49,1915.81,1.0
2004-01-15,1944.45,1922.84,1917.9,1916.1,1.0
2004-01-16,1900.65,1922.18,1917.64,1915.94,0.0
2004-01-19,1935.35,1922.57,1917.9,1916.14,0.0
2004-01-20,1893.25,1921.69,1917.53,1915.91,-1.0
2004-01-21,1824.6,1918.8,1916.14,1914.99,-1.0
2004-01-22,1770.5,1914.37,1913.95,1913.54,-1.0
2004-01-23,1847.55,1912.38,1912.95,1912.87,-1.0
2004-01-27,1904.7,1912.15,1912.82,1912.79,-1.0
2004-01-28,1863.1,1910.68,1912.08,1912.29,-1.0
2004-01-29,1843.6,1908.68,1911.05,1911.6,-1.0
2004-01-30,1809.75,1905.73,1909.52,1910.58,-1.0
2004-02-03,1769.0,1901.64,1907.41,1909.16,-1.0
2004-02-04,1822.2,1899.27,1906.13,1908.28,-1.0
2004-02-05,1804.5,1896.44,1904.6,1907.24,-1.0
2004-02-06,1833.65,1894.57,1903.53,1906.5,-1.0
2004-02-09,1880.7,1894.16,1903.19,1906.24,-1.0
2004-02-10,1880.75,1893.76,1902.85,1905.98,-1.0
2004-02-11,1891.5,1893.69,1902.68,1905.84,-1.0
2004-02-12,1885.3,1893.44,1902.42,1905.63,-1.0
2004-02-13,1913.6,1894.04,1902.59,1905.71,0.0
2004-02-16,1913.55,1894.62,1902.75,1905.79,-1.0
2004-02-17,1920.1,1895.38,1903.01,1905.93,0.0
2004-02-18,1916.45,1896.01,1903.22,1906.04,0.0
2004-02-19,1858.3,1894.89,1902.54,1905.56,-1.0
2004-02-20,1852.65,1893.63,1901.79,1905.03,-1.0
2004-02-23,1808.2,1891.08,1900.38,1904.06,-1.0
2004-02-24,1821.35,1888.99,1899.19,1903.22,-1.0
2004-02-25,1786.8,1885.94,1897.5,1902.05,-1.0
2004-02-26,1765.8,1882.36,1895.52,1900.69,-1.0
2004-02-27,1800.3,1879.91,1894.09,1899.68,-1.0
2004-03-01,1852.7,1879.1,1893.47,1899.2,-1.0
2004-03-03,1860.4,1878.54,1892.97,1898.81,-1.0
2004-03-04,1843.85,1877.5,1892.23,1898.26,-1.0
