Date,P/E,SMA_5_Years,sma_7_5_years,sma_10_years
2000-01-03,25.91,,,
2000-01-04,26.67,,,
2000-01-05,25.97,,,
2000-01-06,26.32,,,
2000-01-07,26.25,,,
2000-01-10,26.57,,,
2000-01-11,25.59,,,
2000-01-12,26.44,,,
2000-01-13,26.38,,,
2000-01-14,26.41,,,
2000-01-17,26.22,,,
2000-01-18,26.15,,,
2000-01-19,26.6,,,
2000-01-20,26.05,,,
2000-01-21,26.37,,,
2000-01-24,26.26,,,
2000-01-25,25.81,,,
2000-01-27,26.1,,,
2000-01-28,26.02,,,
2000-01-31,25.16,,,
2000-02-01,25.13,,,
2000-02-02,25.75,,,
2000-02-03,25.91,,,
2000-02-04,25.94,,,
2000-02-07,26.54,,,
2000-02-08,26.96,,,
2000-02-09,27.4,,,
2000-02-10,27.75,,,
2000-02-11,28.47,,,
2000-02-14,28.29,,,
2000-02-15,27.19,,,
2000-02-16,27.32,,,
2000-02-17,27.82,,,
2000-02-18,27.43,,,
2000-02-21,28.0,,,
2000-02-22,27.77,,,
2000-02-23,27.09,,,
2000-02-24,27.66,,,
2000-02-25,27.29,,,
2000-02-28,27.49,,,
2000-02-29,26.36,,,
2000-03-01,27.35,,,
2000-03-02,27.09,,,
2000-03-03,26.47,,,
2000-03-06,26.99,,,
2000-03-07,27.22,,,
2000-03-08,26.64,,,
2000-03-09,26.32,,,
2000-03-10,25.62,,,
2000-03-13,24.95,,,
2000-03-14,25.05,,,
2000-03-15,25.9,,,
2000-03-16,24.97,,,
2000-03-21,24.89,,,
2000-03-22,25.41,,,
2000-03-23,24.83,,,
2000-03-24,25.09,,,
2000-03-27,24.99,,,
2000-03-28,25.08,,,
2000-03-29,25.08,,,
2000-03-30,24.94,,,
2000-03-31,24.6,,,
2000-04-03,24.7,,,
2000-04-04,22.99,,,
2000-04-05,23.09,,,
2000-04-06,23.39,,,
2000-04-07,25.06,,,
2000-04-10,25.96,,,
2000-04-11,25.72,,,
2000-04-12,25.21,,,
2000-04-13,23.98,,,
2000-04-17,21.74,,,
2000-04-18,21.31,,,
2000-04-19,21.07,,,
2000-04-20,21.23,,,
2000-04-24,20.82,,,
2000-04-25,20.39,,,
2000-04-26,21.54,,,
2000-04-27,21.25,,,
2000-04-28,21.1,,,
2000-05-02,20.0,,,
2000-05-03,19.74,,,
2000-05-04,20.71,,,
2000-05-05,21.33,,,
2000-05-08,20.47,,,
2000-05-09,20.68,,,
2000-05-10,20.57,,,
2000-05-11,19.68,,,
2000-05-12,19.36,,,
2000-05-15,19.54,,,
2000-05-16,19.66,,,
2000-05-17,19.88,,,
2000-05-18,19.44,,,
2000-05-19,19.05,,,
2000-05-22,18.53,,,
2000-05-23,18.4,,,
2000-05-24,20.69,,,
2000-05-25,20.89,,,
2000-05-26,21.35,,,
2000-05-29,21.95,,,
2000-05-30,22.34,,,
2000-05-31,22.96,,,
2000-06-01,22.46,,,
2000-06-02,23.13,,,
2000-06-05,23.38,,,
2000-06-06,23.67,,,
2000-06-07,23.7,,,
2000-06-08,24.25,,,
2000-06-09,24.31,,,
2000-06-12,23.87,,,
2000-06-13,23.74,,,
