Date,Close,3EMA_Close,6EMA_Close,9EMA_Close,EMA_Actual Momentum
2009-01-01,13809.00,13809.00,13809.00,13809.00,0.00
2009-01-02,13637.00,13803.87,13806.41,13807.27,-1.00
2009-01-03,13610.00,13798.08,13803.46,13805.29,-1.00
2009-01-05,13383.00,13785.69,13797.14,13801.04,-1.00
2009-01-06,13253.00,13769.79,13788.95,13795.54,-1.00
2009-01-07,13292.00,13755.52,13781.48,13790.48,-1.00
2009-01-08,13461.00,13746.73,13776.66,13787.16,-1.00
2009-01-09,13334.00,13734.41,13770.01,13782.61,-1.00
2009-01-10,13338.00,13722.58,13763.51,13778.14,-1.00
2009-01-12,13067.00,13703.01,13753.04,13770.99,-1.00
2009-01-13,13026.00,13682.80,13742.10,13763.51,-1.00
2009-01-14,13003.00,13662.51,13730.99,13755.86,-1.00
2009-01-15,12877.00,13639.06,13718.15,13747.03,-1.00
2009-01-16,13095.00,13622.82,13708.78,13740.48,-1.00
2009-01-17,13095.00,13607.06,13699.55,13733.99,-1.00
2009-01-19,13161.00,13593.75,13691.45,13728.23,-1.00
2009-01-20,13575.00,13593.19,13689.70,13726.69,-1.00
2009-01-21,13507.00,13590.62,13686.95,13724.48,-1.00
2009-01-22,13573.00,13590.09,13685.24,13722.96,-1.00
2009-01-23,14093.00,13605.10,13691.37,13726.68,1.00
2009-01-24,14096.00,13619.76,13697.45,13730.39,1.00
2009-01-27,14102.00,13634.15,13703.54,13734.13,1.00
2009-01-28,13905.00,13642.24,13706.57,13735.84,1.00
2009-01-29,14103.00,13655.99,13712.53,13739.53,1.00
2009-01-30,14396.00,13678.08,13722.80,13746.13,1.00
2009-01-31,14393.00,13699.42,13732.88,13752.63,1.00
2009-02-02,14218.00,13714.90,13740.18,13757.31,1.00
2009-02-03,13998.00,13723.35,13744.05,13759.73,1.00
2009-02-04,14058.00,13733.34,13748.78,13762.73,1.00
2009-02-05,14208.00,13747.51,13755.68,13767.20,1.00
2009-02-06,14275.00,13763.26,13763.49,13772.31,1.00
2009-02-07,14227.00,13777.10,13770.46,13776.88,1.00
2009-02-09,14088.00,13786.38,13775.24,13780.00,1.00
2009-02-10,14276.00,13801.00,13782.77,13784.99,1.00
2009-02-11,14573.00,13824.04,13794.65,13792.91,1.00
2009-02-12,14783.00,13852.67,13809.51,13802.86,1.00
2009-02-13,14636.00,13876.05,13821.94,13811.23,1.00
2009-02-14,14651.00,13899.18,13834.41,13819.67,1.00
2009-02-16,14710.00,13923.39,13847.57,13828.62,1.00
2009-02-17,15454.00,13969.08,13871.73,13844.95,1.00
2009-02-18,15575.00,14017.01,13897.34,13862.34,1.00
2009-02-19,15689.00,14066.92,13924.29,13880.70,1.00
2009-02-20,15942.00,14122.90,13954.63,13901.42,1.00
2009-02-21,15918.00,14176.48,13984.15,13921.68,1.00
2009-02-23,15803.00,14225.03,14011.50,13940.59,1.00
2009-02-24,15448.00,14261.54,14033.10,13955.74,1.00
2009-02-25,15510.00,14298.81,14055.31,13971.36,1.00
2009-02-26,15224.00,14326.43,14072.89,13983.95,1.00
2009-02-27,15596.00,14364.32,14095.79,14000.15,1.00
2009-02-28,15568.00,14400.25,14117.93,14015.91,1.00
2009-03-02,15795.00,14441.89,14143.15,14033.79,1.00
2009-03-03,15264.00,14466.43,14160.00,14046.15,1.00
2009-03-04,15148.00,14486.77,14174.86,14057.23,1.00
2009-03-05,15332.00,14512.00,14192.26,14070.04,1.00
2009-03-06,15487.00,14541.11,14211.73,14084.28,1.00
2009-03-07,15549.00,14571.20,14231.84,14099.00,1.00
2009-03-09,15384.00,14595.46,14249.17,14111.92,1.00
2009-03-10,14946.00,14605.92,14259.65,14120.30,1.00
2009-03-11,15050.00,14619.18,14271.53,14129.64,1.00
2009-03-12,15358.00,14641.23,14287.87,14141.99,1.00
2009-03-13,15347.00,14662.30,14303.79,14154.10,1.00
2009-03-14,15348.00,14682.77,14319.50,14166.10,1.00
2009-03-16,15269.00,14700.27,14333.78,14177.18,1.00
2009-03-17,15230.00,14716.08,14347.25,14187.76,1.00
2009-03-18,14754.00,14717.21,14353.37,14193.45,1.00
2009-03-19,15358.00,14736.34,14368.48,14205.16,1.00
2009-03-20,15484.00,14758.66,14385.25,14218.01,1.00
2009-03-21,15525.00,14781.54,14402.39,14231.15,1.00
2009-03-23,15441.00,14801.22,14418.01,14243.31,1.00
2009-03-24,15078.00,14809.48,14427.93,14251.69,1.00
2009-03-25,15159.00,14819.92,14438.93,14260.81,1.00
2009-03-26,15233.00,14832.25,14450.87,14270.58,1.00
2009-03-27,15081.00,14839.67,14460.34,14278.73,1.00
2009-03-28,15075.00,14846.70,14469.59,14286.73,1.00
2009-03-30,15076.00,14853.54,14478.71,14294.66,1.00
2009-03-31,15043.00,14859.20,14487.19,14302.18,1.00
2009-04-01,15082.00,14865.85,14496.14,14310.02,1.00
2009-04-02,14695.00,14860.75,14499.13,14313.89,0.00
2009-04-03,14527.00,14850.79,14499.54,14316.03,0.00
