Date,Close,3EMA_Close,6EMA_Close,9EMA_Close,EMA_Actual Momentum
2009-01-02,1632.21,1632.21,1632.21,1632.21,0.00
2009-01-05,1628.03,1632.09,1632.15,1632.17,1.00
2009-01-06,1652.38,1632.69,1632.45,1632.37,1.00
2009-01-07,1599.06,1631.69,1631.95,1632.04,-1.00
2009-01-08,1617.01,1631.25,1631.72,1631.89,-1.00
2009-01-09,1571.59,1629.47,1630.82,1631.28,-1.00
2009-01-12,1538.79,1626.76,1629.44,1630.35,-1.00
2009-01-13,1546.46,1624.36,1628.19,1629.51,-1.00
2009-01-14,1489.64,1620.34,1626.11,1628.10,-1.00
2009-01-15,1511.84,1617.10,1624.39,1626.93,-1.00
2009-01-16,1529.33,1614.48,1622.96,1625.95,-1.00
2009-01-20,1440.86,1609.30,1620.22,1624.09,-1.00
2009-01-21,1507.07,1606.25,1618.52,1622.92,-1.00
2009-01-22,1465.49,1602.05,1616.22,1621.33,-1.00
2009-01-23,1477.29,1598.32,1614.13,1619.89,-1.00
2009-01-26,1489.46,1595.07,1612.25,1618.57,-1.00
2009-01-27,1504.90,1592.38,1610.64,1617.43,-1.00
2009-01-28,1558.34,1591.37,1609.85,1616.84,-1.00
2009-01-29,1507.84,1588.87,1608.32,1615.74,-1.00
2009-01-30,1476.42,1585.52,1606.33,1614.34,-1.00
2009-02-02,1494.43,1582.80,1604.65,1613.14,-1.00
2009-02-03,1516.30,1580.81,1603.32,1612.16,-1.00
2009-02-04,1515.05,1578.85,1602.00,1611.19,-1.00
2009-02-05,1546.24,1577.88,1601.16,1610.54,-1.00
2009-02-06,1591.71,1578.29,1601.02,1610.35,-1.00
2009-02-09,1591.56,1578.68,1600.87,1610.16,-1.00
2009-02-10,1524.73,1577.07,1599.73,1609.30,-1.00
2009-02-11,1530.50,1575.68,1598.69,1608.51,-1.00
2009-02-12,1541.71,1574.67,1597.83,1607.84,-1.00
2009-02-13,1534.36,1573.47,1596.88,1607.10,-1.00
2009-02-17,1470.66,1570.40,1594.98,1605.73,-1.00
2009-02-18,1467.97,1567.34,1593.07,1604.34,-1.00
2009-02-19,1442.82,1563.62,1590.81,1602.72,-1.00
2009-02-20,1441.23,1559.97,1588.56,1601.10,-1.00
2009-02-23,1387.72,1554.83,1585.54,1598.95,-1.00
2009-02-24,1441.83,1551.45,1583.38,1597.37,-1.00
2009-02-25,1425.43,1547.69,1581.00,1595.64,-1.00
2009-02-26,1391.47,1543.03,1578.15,1593.59,-1.00
2009-02-27,1377.84,1538.10,1575.14,1591.42,-1.00
2009-03-02,1322.85,1531.67,1571.35,1588.72,-1.00
2009-03-03,1321.01,1525.38,1567.58,1586.03,-1.00
2009-03-04,1353.74,1520.26,1564.37,1583.70,-1.00
2009-03-05,1299.59,1513.67,1560.38,1580.84,-1.00
2009-03-06,1293.85,1507.11,1556.38,1577.96,-1.00
2009-03-09,1268.64,1499.99,1552.05,1574.85,-1.00
2009-03-10,1358.28,1495.76,1549.14,1572.67,-1.00
2009-03-11,1371.64,1492.06,1546.47,1570.65,-1.00
2009-03-12,1426.10,1490.09,1544.66,1569.20,-1.00
2009-03-13,1431.50,1488.34,1542.96,1567.82,-1.00
2009-03-16,1404.02,1485.82,1540.87,1566.17,-1.00
2009-03-17,1462.11,1485.11,1539.68,1565.12,-1.00
2009-03-18,1491.22,1485.30,1538.95,1564.38,-1.00
2009-03-19,1483.48,1485.24,1538.12,1563.57,-1.00
2009-03-20,1457.27,1484.41,1536.90,1562.50,-1.00
2009-03-23,1555.77,1486.54,1537.19,1562.43,0.00
2009-03-24,1516.52,1487.43,1536.88,1561.97,0.00
2009-03-25,1528.95,1488.67,1536.76,1561.64,0.00
2009-03-26,1587.00,1491.61,1537.51,1561.89,1.00
2009-03-27,1545.20,1493.21,1537.63,1561.73,0.00
2009-03-30,1501.80,1493.46,1537.09,1561.12,0.00
2009-03-31,1528.59,1494.51,1536.96,1560.80,0.00
2009-04-01,1551.60,1496.22,1537.18,1560.70,0.00
2009-04-02,1602.63,1499.39,1538.17,1561.13,1.00
2009-04-03,1621.87,1503.05,1539.42,1561.74,1.00
2009-04-06,1606.71,1506.14,1540.44,1562.19,1.00
2009-04-07,1561.61,1507.80,1540.75,1562.18,1.00
2009-04-08,1590.66,1510.27,1541.51,1562.47,1.00
2009-04-09,1652.54,1514.52,1543.17,1563.37,1.00
2009-04-13,1653.31,1518.66,1544.83,1564.28,1.00
2009-04-14,1625.72,1521.86,1546.05,1564.90,1.00
2009-04-15,1626.80,1524.99,1547.26,1565.52,1.00
2009-04-16,1670.44,1529.33,1549.11,1566.57,1.00
2009-04-17,1673.07,1533.62,1550.98,1567.64,1.00
2009-04-20,1608.21,1535.85,1551.84,1568.05,1.00
2009-04-21,1643.85,1539.07,1553.22,1568.81,1.00
2009-04-22,1646.12,1542.27,1554.62,1569.59,1.00
2009-04-23,1652.21,1545.55,1556.09,1570.42,1.00
2009-04-24,1694.29,1549.99,1558.17,1571.66,1.00
2009-04-27,1679.41,1553.85,1559.99,1572.75,1.00
2009-04-28,1673.81,1557.43,1561.70,1573.76,1.00
2009-04-29,1711.94,1562.05,1563.96,1575.15,1.00
2009-04-30,1717.30,1566.68,1566.27,1576.58,1.00
2009-05-01,1719.20,1571.23,1568.56,1578.01,1.00
2009-05-04,1763.56,1576.98,1571.50,1579.88,1.00
2009-05-05,1754.12,1582.26,1574.24,1581.63,1.00
2009-05-06,1759.10,1587.54,1577.02,1583.41,1.00
2009-05-07,1716.24,1591.38,1579.12,1584.75,1.00
2009-05-08,1739.00,1595.79,1581.52,1586.30,1.00
2009-05-11,1731.24,1599.83,1583.77,1587.76,1.00
2009-05-12,1715.92,1603.30,1585.76,1589.04,1.00
2009-05-13,1664.19,1605.12,1586.94,1589.80,1.00
2009-05-14,1689.21,1607.63,1588.48,1590.80,1.00
2009-05-15,1680.14,1609.79,1589.86,1591.70,1.00
2009-05-18,1732.36,1613.45,1592.00,1593.11,1.00
2009-05-19,1734.54,1617.06,1594.14,1594.53,1.00
2009-05-20,1727.84,1620.37,1596.15,1595.87,1.00
2009-05-21,1695.25,1622.61,1597.64,1596.87,1.00
2009-05-22,1692.01,1624.68,1599.06,1597.83,1.00
2009-05-26,1750.43,1628.43,1601.34,1599.36,1.00
2009-05-27,1731.08,1631.50,1603.29,1600.68,1.00
2009-05-28,1751.79,1635.09,1605.52,1602.20,1.00
2009-05-29,1774.33,1639.24,1608.06,1603.93,1.00
2009-06-01,1828.68,1644.90,1611.38,1606.19,1.00
2009-06-02,1836.80,1650.63,1614.77,1608.51,1.00
2009-06-03,1825.92,1655.86,1617.94,1610.69,1.00
2009-06-04,1850.02,1661.66,1621.43,1613.10,1.00
2009-06-05,1849.42,1667.26,1624.86,1615.47,1.00
2009-06-08,1842.40,1672.49,1628.13,1617.75,1.00
2009-06-09,1860.13,1678.09,1631.62,1620.19,1.00
2009-06-10,1853.08,1683.31,1634.95,1622.53,1.00
2009-06-11,1862.37,1688.66,1638.37,1624.94,1.00
2009-06-12,1858.80,1693.74,1641.69,1627.29,1.00
2009-06-15,1816.38,1697.40,1644.31,1629.19,1.00
2009-06-16,1796.18,1700.35,1646.60,1630.87,1.00
2009-06-17,1808.06,1703.56,1649.02,1632.65,1.00
2009-06-18,1807.72,1706.67,1651.41,1634.41,1.00
2009-06-19,1827.47,1710.28,1654.06,1636.35,1.00
2009-06-22,1766.19,1711.95,1655.74,1637.66,1.00
2009-06-23,1764.92,1713.53,1657.39,1638.93,1.00
2009-06-24,1792.34,1715.88,1659.42,1640.48,1.00
2009-06-25,1829.54,1719.27,1661.97,1642.38,1.00
2009-06-26,1838.22,1722.82,1664.62,1644.34,1.00
2009-06-29,1844.06,1726.44,1667.32,1646.35,1.00
2009-06-30,1835.04,1729.68,1669.84,1648.25,1.00
2009-07-01,1845.72,1733.15,1672.49,1650.23,1.00
2009-07-02,1796.52,1735.04,1674.35,1651.70,1.00
2009-07-06,1787.40,1736.60,1676.05,1653.07,1.00
2009-07-07,1746.17,1736.89,1677.11,1654.00,1.00
2009-07-08,1747.17,1737.20,1678.16,1654.94,1.00
2009-07-09,1752.55,1737.65,1679.28,1655.92,1.00
2009-07-10,1756.03,1738.20,1680.44,1656.93,1.00
2009-07-13,1793.21,1739.84,1682.13,1658.30,1.00
2009-07-14,1799.73,1741.63,1683.90,1659.72,1.00
2009-07-15,1862.90,1745.25,1686.59,1661.76,1.00
2009-07-16,1885.03,1749.42,1689.58,1664.00,1.00
2009-07-17,1886.61,1753.52,1692.54,1666.24,1.00
2009-07-20,1909.29,1758.17,1695.80,1668.68,1.00
2009-07-21,1916.20,1762.89,1699.11,1671.17,1.00
2009-07-22,1926.38,1767.77,1702.53,1673.74,1.00
2009-07-23,1973.60,1773.91,1706.61,1676.75,1.00
2009-07-24,1965.96,1779.64,1710.51,1679.66,1.00
2009-07-27,1967.89,1785.26,1714.38,1682.55,1.00
2009-07-28,1975.51,1790.94,1718.30,1685.50,1.00
2009-07-29,1967.76,1796.22,1722.05,1688.33,1.00
2009-07-30,1984.30,1801.83,1726.00,1691.31,1.00
2009-07-31,1978.50,1807.11,1729.79,1694.19,1.00
2009-08-03,2008.61,1813.12,1733.99,1697.35,1.00
2009-08-04,2011.31,1819.04,1738.16,1700.51,1.00
2009-08-05,1993.05,1824.23,1741.99,1703.45,1.00
2009-08-06,1973.16,1828.68,1745.47,1706.16,1.00
2009-08-07,2000.25,1833.80,1749.30,1709.12,1.00
2009-08-10,1992.24,1838.53,1752.95,1711.96,1.00
2009-08-11,1969.73,1842.45,1756.21,1714.55,1.00
2009-08-12,1998.72,1847.11,1759.86,1717.41,1.00
2009-08-13,2009.35,1851.95,1763.61,1720.34,1.00
2009-08-14,1985.52,1855.94,1766.95,1723.01,1.00
2009-08-17,1930.84,1858.18,1769.41,1725.10,1.00
2009-08-18,1955.92,1861.09,1772.22,1727.42,1.00
2009-08-19,1969.24,1864.32,1775.18,1729.85,1.00
2009-08-20,1989.22,1868.05,1778.40,1732.45,1.00
2009-08-21,2020.90,1872.61,1782.04,1735.35,1.00
2009-08-24,2017.98,1876.95,1785.59,1738.19,1.00
2009-08-25,2024.23,1881.35,1789.18,1741.07,1.00
2009-08-26,2024.43,1885.62,1792.72,1743.92,1.00
2009-08-27,2027.73,1889.86,1796.25,1746.77,1.00
2009-08-28,2028.77,1894.01,1799.75,1749.60,1.00
2009-08-31,2009.06,1897.44,1802.90,1752.21,1.00
2009-09-01,1968.89,1899.58,1805.39,1754.39,1.00
2009-09-02,1967.07,1901.59,1807.82,1756.53,1.00
2009-09-03,1983.20,1904.03,1810.46,1758.80,1.00
2009-09-04,2018.78,1907.45,1813.59,1761.42,1.00
2009-09-08,2037.77,1911.34,1816.96,1764.19,1.00
2009-09-09,2060.39,1915.79,1820.63,1767.17,1.00
2009-09-10,2084.02,1920.81,1824.59,1770.35,1.00
2009-09-11,2080.90,1925.59,1828.44,1773.48,1.00
2009-09-14,2091.78,1930.55,1832.40,1776.67,1.00
2009-09-15,2102.64,1935.69,1836.46,1779.95,1.00
2009-09-16,2133.15,1941.58,1840.93,1783.50,1.00
2009-09-17,2126.75,1947.11,1845.22,1786.95,1.00
2009-09-18,2132.86,1952.66,1849.55,1790.43,1.00
2009-09-21,2138.04,1958.19,1853.89,1793.92,1.00
2009-09-22,2146.30,1963.81,1858.28,1797.46,1.00
2009-09-23,2131.42,1968.81,1862.39,1800.82,1.00
2009-09-24,2107.61,1972.95,1866.08,1803.90,1.00
2009-09-25,2090.92,1976.47,1869.46,1806.79,1.00
2009-09-28,2130.74,1981.08,1873.39,1810.04,1.00
2009-09-29,2124.04,1985.35,1877.16,1813.20,1.00
2009-09-30,2122.42,1989.44,1880.85,1816.31,1.00
2009-10-01,2057.48,1991.47,1883.50,1818.73,1.00
2009-10-02,2048.11,1993.16,1885.98,1821.03,1.00
2009-10-05,2068.15,1995.40,1888.72,1823.52,1.00
2009-10-06,2103.57,1998.63,1891.95,1826.33,1.00
2009-10-07,2110.33,2001.96,1895.23,1829.19,1.00
2009-10-08,2123.93,2005.60,1898.67,1832.15,1.00
2009-10-09,2139.28,2009.59,1902.29,1835.24,1.00
2009-10-12,2139.14,2013.46,1905.85,1838.29,1.00
2009-10-13,2139.89,2017.23,1909.37,1841.32,1.00
2009-10-14,2172.23,2021.86,1913.32,1844.65,1.00
2009-10-15,2173.29,2026.38,1917.23,1847.95,1.00
2009-10-16,2156.80,2030.27,1920.84,1851.05,1.00
2009-10-19,2176.32,2034.63,1924.68,1854.32,1.00
2009-10-20,2163.47,2038.48,1928.27,1857.43,1.00
2009-10-21,2150.73,2041.83,1931.61,1860.38,1.00
2009-10-22,2165.29,2045.52,1935.13,1863.44,1.00
2009-10-23,2154.47,2048.77,1938.43,1866.37,1.00
2009-10-26,2141.85,2051.55,1941.48,1869.14,1.00
2009-10-27,2116.09,2053.47,1944.11,1871.62,1.00
2009-10-28,2059.61,2053.66,1945.85,1873.51,1.00
2009-10-29,2097.55,2054.97,1948.13,1875.76,1.00
2009-10-30,2045.11,2054.67,1949.59,1877.46,1.00
2009-11-02,2049.20,2054.51,1951.08,1879.19,1.00
2009-11-03,2057.32,2054.59,1952.68,1880.98,1.00
2009-11-04,2055.52,2054.62,1954.23,1882.73,1.00
2009-11-05,2105.32,2056.13,1956.50,1884.97,1.00
2009-11-06,2112.44,2057.81,1958.85,1887.25,1.00
2009-11-09,2154.06,2060.69,1961.78,1889.94,1.00
2009-11-10,2151.08,2063.39,1964.63,1892.56,1.00
2009-11-11,2166.90,2066.48,1967.67,1895.32,1.00
2009-11-12,2149.02,2068.94,1970.40,1897.87,1.00
2009-11-13,2167.88,2071.89,1973.37,1900.58,1.00
2009-11-16,2197.85,2075.65,1976.74,1903.57,1.00
2009-11-17,2203.78,2079.48,1980.16,1906.59,1.00
2009-11-18,2193.14,2082.87,1983.36,1909.47,1.00
2009-11-19,2156.82,2085.08,1985.97,1911.95,1.00
2009-11-20,2146.04,2086.90,1988.37,1914.30,1.00
2009-11-23,2176.01,2089.56,1991.20,1916.93,1.00
2009-11-24,2169.18,2091.94,1993.87,1919.47,1.00
2009-11-25,2176.05,2094.45,1996.61,1922.05,1.00
2009-11-27,2138.44,2095.76,1998.74,1924.22,1.00
2009-11-30,2144.60,2097.22,2000.94,1926.44,1.00
2009-12-01,2175.81,2099.56,2003.57,1928.94,1.00
2009-12-02,2185.03,2102.11,2006.30,1931.52,1.00
2009-12-03,2173.14,2104.23,2008.81,1933.95,1.00
2009-12-04,2194.35,2106.92,2011.60,1936.56,1.00
2009-12-07,2189.61,2109.39,2014.27,1939.11,1.00
2009-12-08,2172.99,2111.29,2016.66,1941.46,1.00
2009-12-09,2183.73,2113.45,2019.17,1943.89,1.00
2009-12-10,2190.86,2115.76,2021.75,1946.37,1.00
2009-12-11,2190.31,2117.99,2024.29,1948.83,1.00
2009-12-14,2212.10,2120.80,2027.11,1951.47,1.00
2009-12-15,2201.05,2123.19,2029.73,1953.98,1.00
2009-12-16,2206.91,2125.69,2032.39,1956.52,1.00
2009-12-17,2180.05,2127.32,2034.61,1958.77,1.00
2009-12-18,2211.69,2129.83,2037.28,1961.31,1.00
2009-12-21,2237.66,2133.05,2040.29,1964.09,1.00
2009-12-22,2252.67,2136.62,2043.48,1966.99,1.00
2009-12-23,2269.64,2140.59,2046.88,1970.03,1.00
2009-12-24,2285.69,2144.93,2050.47,1973.20,1.00
2009-12-28,2291.08,2149.29,2054.09,1976.40,1.00
2009-12-29,2288.40,2153.44,2057.62,1979.53,1.00
2009-12-30,2291.28,2157.56,2061.13,1982.67,1.00
2009-12-31,2269.15,2160.89,2064.26,1985.55,1.00
2010-01-04,2308.42,2165.29,2067.93,1988.79,1.00
2010-01-05,2308.71,2169.57,2071.55,1992.01,1.00
2010-01-06,2301.09,2173.50,2075.00,1995.11,1.00
2010-01-07,2300.05,2177.28,2078.39,1998.18,1.00
2010-01-08,2317.17,2181.45,2081.98,2001.38,1.00
2010-01-11,2312.41,2185.36,2085.44,2004.51,1.00
2010-01-12,2282.31,2188.25,2088.40,2007.30,1.00
2010-01-13,2307.90,2191.83,2091.70,2010.32,1.00
2010-01-14,2316.74,2195.56,2095.09,2013.40,1.00
2010-01-15,2287.99,2198.31,2097.99,2016.16,1.00
2010-01-19,2320.40,2201.96,2101.33,2019.22,1.00
2010-01-20,2291.25,2204.62,2104.19,2021.95,1.00
2010-01-21,2265.70,2206.45,2106.62,2024.40,1.00
2010-01-22,2205.29,2206.41,2108.10,2026.22,1.00
2010-01-25,2210.80,2206.54,2109.65,2028.08,1.00
2010-01-26,2203.73,2206.46,2111.06,2029.84,1.00
2010-01-27,2221.41,2206.91,2112.72,2031.77,1.00
2010-01-28,2179.00,2206.07,2113.72,2033.25,0.00
2010-01-29,2147.35,2204.32,2114.22,2034.39,0.00
2010-02-01,2171.20,2203.33,2115.08,2035.77,0.00
2010-02-02,2190.06,2202.94,2116.21,2037.32,0.00
2010-02-03,2190.91,2202.58,2117.33,2038.86,0.00
2010-02-04,2125.43,2200.27,2117.45,2039.73,0.00
2010-02-05,2141.12,2198.51,2117.81,2040.75,0.00
2010-02-08,2126.05,2196.34,2117.93,2041.61,0.00
2010-02-09,2150.87,2194.99,2118.43,2042.71,0.00
2010-02-10,2147.87,2193.58,2118.87,2043.76,0.00
2010-02-11,2177.41,2193.10,2119.75,2045.11,0.00
2010-02-12,2183.53,2192.81,2120.71,2046.50,0.00
2010-02-16,2214.19,2193.45,2122.11,2048.18,0.00
2010-02-17,2226.29,2194.43,2123.68,2049.97,1.00
2010-02-18,2241.71,2195.84,2125.46,2051.90,1.00
2010-02-19,2243.87,2197.28,2127.24,2053.83,1.00
2010-02-22,2242.03,2198.61,2128.96,2055.72,1.00
2010-02-23,2213.44,2199.05,2130.23,2057.31,1.00
2010-02-24,2235.90,2200.15,2131.82,2059.10,1.00
2010-02-25,2234.22,2201.17,2133.36,2060.86,1.00
2010-02-26,2238.26,2202.28,2134.94,2062.64,1.00
2010-03-01,2273.57,2204.41,2137.02,2064.76,1.00
2010-03-02,2280.79,2206.69,2139.19,2066.93,1.00
2010-03-03,2280.68,2208.90,2141.31,2069.08,1.00
2010-03-04,2292.31,2211.39,2143.58,2071.33,1.00
2010-03-05,2326.35,2214.82,2146.33,2073.89,1.00
2010-03-08,2332.21,2218.32,2149.13,2076.49,1.00
2010-03-09,2340.68,2221.97,2152.01,2079.14,1.00
2010-03-10,2358.95,2226.06,2155.12,2081.95,1.00
2010-03-11,2368.46,2230.31,2158.33,2084.83,1.00
2010-03-12,2367.66,2234.41,2161.48,2087.68,1.00
2010-03-15,2362.21,2238.23,2164.49,2090.43,1.00
2010-03-16,2378.01,2242.40,2167.71,2093.32,1.00
2010-03-17,2389.09,2246.78,2171.03,2096.30,1.00
2010-03-18,2391.28,2251.09,2174.35,2099.26,1.00
2010-03-19,2374.41,2254.77,2177.35,2102.03,1.00
2010-03-22,2395.40,2258.97,2180.63,2104.98,1.00
2010-03-23,2415.24,2263.64,2184.16,2108.09,1.00
2010-03-24,2398.76,2267.67,2187.39,2111.01,1.00
2010-03-25,2397.41,2271.54,2190.55,2113.89,1.00
2010-03-26,2395.13,2275.23,2193.62,2116.72,1.00
2010-03-29,2404.36,2279.09,2196.79,2119.61,1.00
2010-03-30,2410.69,2283.02,2200.01,2122.54,1.00
2010-03-31,2397.96,2286.45,2202.99,2125.30,1.00
2010-04-01,2402.58,2289.91,2205.99,2128.09,1.00
2010-04-05,2429.53,2294.08,2209.35,2131.12,1.00
2010-04-06,2436.81,2298.34,2212.77,2134.19,1.00
2010-04-07,2431.16,2302.31,2216.05,2137.18,1.00
2010-04-08,2436.81,2306.32,2219.37,2140.19,1.00
2010-04-09,2454.05,2310.73,2222.90,2143.34,1.00
2010-04-12,2457.87,2315.12,2226.44,2146.50,1.00
2010-04-13,2465.99,2319.63,2230.04,2149.71,1.00
2010-04-14,2504.86,2325.16,2234.17,2153.28,1.00
2010-04-15,2515.69,2330.84,2238.40,2156.93,1.00
2010-04-16,2481.26,2335.33,2242.06,2160.19,1.00
2010-04-19,2480.11,2339.66,2245.64,2163.40,1.00
2010-04-20,2500.31,2344.45,2249.46,2166.79,1.00
2010-04-21,2504.61,2349.23,2253.30,2170.18,1.00
2010-04-22,2519.07,2354.30,2257.30,2173.69,1.00
2010-04-23,2530.15,2359.55,2261.40,2177.27,1.00
2010-04-26,2522.95,2364.43,2265.33,2180.75,1.00
2010-04-27,2471.47,2367.62,2268.43,2183.67,1.00
2010-04-28,2471.73,2370.73,2271.49,2186.56,1.00
2010-04-29,2511.92,2374.95,2275.11,2189.83,1.00
2010-04-30,2461.19,2377.52,2277.90,2192.56,1.00
2010-05-03,2498.74,2381.14,2281.23,2195.64,1.00
2010-05-04,2424.25,2382.43,2283.38,2197.93,1.00
2010-05-05,2402.29,2383.02,2285.16,2199.99,1.00
2010-05-06,2319.64,2381.13,2285.68,2201.19,0.00
2010-05-07,2265.64,2377.68,2285.38,2201.84,0.00
