Date,P/E,SMA_5_Years,sma_7_5_years,sma_10_years,1.5sd_5SMA_POS,2sd_5SMA_POS,3sd_5SMA_POS,1.5sd_5SMA_NEG,2sd_5SMA_NEG,3sd_5SMA_NEG,1.5sd_7_5_SMA_POS,2sd_7_5SMA_POS,3sd_7_5SMA_POS,1.5sd_7_5SMA_NEG,2sd_7_5SMA_NEG,3sd_7_5SMA_NEG,1.5sd_10_SMA_POS,2sd_10SMA_POS,3sd_10SMA_POS,1.5sd_10SMA_NEG,2sd_10SMA_NEG,3sd_10SMA_NEG,signals
2000-01-03,25.91,,,,,,,,,,,,,,,,,,,,,,
2000-01-04,26.67,,,,,,,,,,,,,,,,,,,,,,
2000-01-05,25.97,,,,,,,,,,,,,,,,,,,,,,
2000-01-06,26.32,,,,,,,,,,,,,,,,,,,,,,
2000-01-07,26.25,,,,,,,,,,,,,,,,,,,,,,
2000-01-10,26.57,,,,,,,,,,,,,,,,,,,,,,
2000-01-11,25.59,,,,,,,,,,,,,,,,,,,,,,
2000-01-12,26.44,,,,,,,,,,,,,,,,,,,,,,
2000-01-13,26.38,,,,,,,,,,,,,,,,,,,,,,
2000-01-14,26.41,,,,,,,,,,,,,,,,,,,,,,
2000-01-17,26.22,,,,,,,,,,,,,,,,,,,,,,
2000-01-18,26.15,,,,,,,,,,,,,,,,,,,,,,
2000-01-19,26.6,,,,,,,,,,,,,,,,,,,,,,
2000-01-20,26.05,,,,,,,,,,,,,,,,,,,,,,
2000-01-21,26.37,,,,,,,,,,,,,,,,,,,,,,
2000-01-24,26.26,,,,,,,,,,,,,,,,,,,,,,
2000-01-25,25.81,,,,,,,,,,,,,,,,,,,,,,
2000-01-27,26.1,,,,,,,,,,,,,,,,,,,,,,
2000-01-28,26.02,,,,,,,,,,,,,,,,,,,,,,
2000-01-31,25.16,,,,,,,,,,,,,,,,,,,,,,
2000-02-01,25.13,,,,,,,,,,,,,,,,,,,,,,
2000-02-02,25.75,,,,,,,,,,,,,,,,,,,,,,
2000-02-03,25.91,,,,,,,,,,,,,,,,,,,,,,
2000-02-04,25.94,,,,,,,,,,,,,,,,,,,,,,
2000-02-07,26.54,,,,,,,,,,,,,,,,,,,,,,
2000-02-08,26.96,,,,,,,,,,,,,,,,,,,,,,
2000-02-09,27.4,,,,,,,,,,,,,,,,,,,,,,
2000-02-10,27.75,,,,,,,,,,,,,,,,,,,,,,
2000-02-11,28.47,,,,,,,,,,,,,,,,,,,,,,
2000-02-14,28.29,,,,,,,,,,,,,,,,,,,,,,
2000-02-15,27.19,,,,,,,,,,,,,,,,,,,,,,
2000-02-16,27.32,,,,,,,,,,,,,,,,,,,,,,
2000-02-17,27.82,,,,,,,,,,,,,,,,,,,,,,
2000-02-18,27.43,,,,,,,,,,,,,,,,,,,,,,
2000-02-21,28.0,,,,,,,,,,,,,,,,,,,,,,
2000-02-22,27.77,,,,,,,,,,,,,,,,,,,,,,
2000-02-23,27.09,,,,,,,,,,,,,,,,,,,,,,
2000-02-24,27.66,,,,,,,,,,,,,,,,,,,,,,
2000-02-25,27.29,,,,,,,,,,,,,,,,,,,,,,
