Date,Close,3EMA_Close,6EMA_Close,9EMA_Close,EMA_Actual Momentum
2012-07-09,125.47,125.47,125.47,125.47,0.00
2012-07-10,124.94,125.45,125.46,125.46,1.00
2012-07-11,125.07,125.44,125.46,125.46,1.00
2012-07-12,122.52,125.36,125.41,125.43,-1.00
2012-07-13,122.82,125.28,125.37,125.40,-1.00
2012-07-16,122.72,125.20,125.33,125.38,-1.00
2012-07-17,124.27,125.18,125.32,125.37,-1.00
2012-07-18,122.96,125.11,125.28,125.34,-1.00
2012-07-19,124.98,125.11,125.28,125.34,-1.00
2012-07-20,125.39,125.11,125.28,125.34,-1.00
2012-07-23,122.29,125.03,125.23,125.31,-1.00
2012-07-24,121.67,124.93,125.18,125.27,-1.00
2012-07-25,120.97,124.81,125.12,125.23,-1.00
2012-07-26,120.97,124.70,125.05,125.19,-1.00
2012-07-27,123.59,124.66,125.03,125.17,-1.00
2012-07-30,124.93,124.67,125.03,125.17,-1.00
2012-07-31,126.69,124.73,125.06,125.18,1.00
2012-08-01,126.92,124.80,125.08,125.20,1.00
2012-08-02,126.24,124.84,125.10,125.21,1.00
2012-08-03,125.77,124.87,125.11,125.22,1.00
2012-08-06,127.76,124.95,125.15,125.24,1.00
2012-08-07,128.27,125.05,125.20,125.27,1.00
2012-08-08,128.23,125.15,125.24,125.30,1.00
2012-08-09,129.85,125.29,125.31,125.35,1.00
2012-08-10,129.08,125.40,125.37,125.39,1.00
2012-08-13,128.52,125.49,125.42,125.42,1.00
2012-08-14,129.48,125.61,125.48,125.46,1.00
2012-08-15,128.40,125.70,125.52,125.49,1.00
2012-08-16,128.13,125.77,125.56,125.51,1.00
2012-08-17,128.60,125.85,125.61,125.54,1.00
2012-08-20,128.35,125.93,125.65,125.57,1.00
2012-08-21,129.01,126.02,125.70,125.61,1.00
2012-08-22,127.92,126.08,125.73,125.63,1.00
2012-08-23,129.25,126.17,125.79,125.67,1.00
2012-08-24,127.92,126.22,125.82,125.69,1.00
2012-08-27,127.39,126.26,125.84,125.71,1.00
2012-08-28,126.72,126.27,125.85,125.72,1.00
2012-08-29,126.72,126.29,125.87,125.73,1.00
2012-08-30,125.55,126.26,125.86,125.73,1.00
2012-08-31,125.57,126.24,125.86,125.72,1.00
2012-09-03,126.24,126.24,125.86,125.73,1.00
2012-09-04,125.62,126.22,125.86,125.73,1.00
2012-09-05,123.85,126.15,125.83,125.71,-1.00
2012-09-06,123.83,126.08,125.80,125.69,-1.00
2012-09-07,127.29,126.12,125.82,125.71,0.00
2012-09-10,127.82,126.17,125.85,125.73,1.00
2012-09-11,127.98,126.23,125.88,125.75,1.00
2012-09-12,129.50,126.32,125.94,125.79,1.00
2012-09-13,129.43,126.42,125.99,125.82,1.00
2012-09-14,133.35,126.62,126.10,125.90,1.00
2012-09-17,133.48,126.83,126.21,125.98,1.00
2012-09-18,132.82,127.01,126.31,126.05,1.00
2012-09-19,134.17,127.22,126.43,126.13,1.00
2012-09-20,132.33,127.37,126.52,126.19,1.00
2012-09-21,133.33,127.55,126.62,126.26,1.00
2012-09-24,133.26,127.72,126.72,126.33,1.00
2012-09-25,133.01,127.88,126.82,126.40,1.00
2012-09-26,131.79,128.00,126.89,126.45,1.00
2012-09-27,133.05,128.15,126.98,126.52,1.00
2012-09-28,134.02,128.32,127.09,126.59,1.00
2012-10-01,133.74,128.48,127.19,126.67,1.00
2012-10-02,134.02,128.65,127.29,126.74,1.00
2012-10-03,134.19,128.81,127.40,126.81,1.00
2012-10-04,134.12,128.97,127.50,126.89,1.00
2012-10-05,134.85,129.15,127.61,126.97,1.00
2012-10-08,133.47,129.28,127.70,127.03,1.00
2012-10-09,133.74,129.41,127.79,127.10,1.00
2012-10-10,133.88,129.54,127.88,127.17,1.00
2012-10-11,133.55,129.66,127.96,127.23,1.00
2012-10-12,134.19,129.80,128.06,127.30,1.00
2012-10-15,134.16,129.93,128.15,127.37,1.00
